Change Component Footprint: Designator=C2 Old Footprint=FP-C0805C104M5UACTU-MFG New Footprint=FP-CL21-IPC_C
Change Component Footprint: Designator=C3 Old Footprint=FP-C0805C104M5UACTU-MFG New Footprint=FP-CL21-IPC_C
Change Component Footprint: Designator=C1 Old Footprint=FP-C3225-250-0_4-IPC_B New Footprint=FP-CL21-IPC_C
Change Component Footprint: Designator=R1 Old Footprint=FP-RMCF0603-IPC_C New Footprint=FP-CRGP2512-IPC_C
Change Component Footprint: Designator=R2 Old Footprint=FP-RMCF0603-IPC_C New Footprint=FP-CRGP2512-IPC_C
Change Component Footprint: Designator=R3 Old Footprint=FP-RMCF0603-IPC_C New Footprint=FP-CRGP2512-IPC_C
Change Component Footprint: Designator=R4 Old Footprint=FP-RMCF0603-IPC_C New Footprint=FP-CRGP2512-IPC_C
Change Component Footprint: Designator=R13 Old Footprint=FP-RMCF0603-IPC_C New Footprint=FP-CRGP2512-IPC_C
Change Component Comment : Designator=C2 Old Comment=0.1uF New Comment=100nF
Change Component Comment : Designator=C3 Old Comment=0.1uF New Comment=100nF
Change Component Designator: OldDesignator=C11 NewDesignator=C?
Change Managed Component Library Link : Designator=C1 Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID=1954D0E7-6B0F-4470-9748-F4908ABA05EC New ItemGUID=70F2586D-D1C4-4A59-B0FD-8E15598D15D6 Old RevisionGUID=5247FD9E-FF92-4D4A-8719-C10BCDFAA66C New RevisionGUID=862C4271-92C1-4B5D-9082-75212BB0ED7B
Change Managed Component Library Link : Designator=C2 Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID=625D31EF-F004-4505-998C-EF8BC3795A78 New ItemGUID=AF075B6C-78C7-43F5-AEFF-B9A5F245B14B Old RevisionGUID=D0F42E28-812B-4E0A-BDA7-024E6D4DB94B New RevisionGUID=F3515D41-3C1B-4C6D-A655-7EC8E1079EEE
Change Managed Component Library Link : Designator=C3 Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID=625D31EF-F004-4505-998C-EF8BC3795A78 New ItemGUID=AF075B6C-78C7-43F5-AEFF-B9A5F245B14B Old RevisionGUID=D0F42E28-812B-4E0A-BDA7-024E6D4DB94B New RevisionGUID=F3515D41-3C1B-4C6D-A655-7EC8E1079EEE
Change Managed Component Library Link : Designator=R1 Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID=2BF410E7-5427-44EF-BCEA-91A59D25C49B New ItemGUID=4A4F3B50-14AE-41CF-B6AF-045798DC089D Old RevisionGUID=765A71F1-F407-4FDC-911C-717D421F510C New RevisionGUID=37806F1D-006B-4942-BF76-93E07AE4A777
Change Managed Component Library Link : Designator=R2 Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID=2BF410E7-5427-44EF-BCEA-91A59D25C49B New ItemGUID=4A4F3B50-14AE-41CF-B6AF-045798DC089D Old RevisionGUID=765A71F1-F407-4FDC-911C-717D421F510C New RevisionGUID=37806F1D-006B-4942-BF76-93E07AE4A777
Change Managed Component Library Link : Designator=R3 Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID=2BF410E7-5427-44EF-BCEA-91A59D25C49B New ItemGUID=4A4F3B50-14AE-41CF-B6AF-045798DC089D Old RevisionGUID=765A71F1-F407-4FDC-911C-717D421F510C New RevisionGUID=37806F1D-006B-4942-BF76-93E07AE4A777
Change Managed Component Library Link : Designator=R4 Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID=2BF410E7-5427-44EF-BCEA-91A59D25C49B New ItemGUID=4A4F3B50-14AE-41CF-B6AF-045798DC089D Old RevisionGUID=765A71F1-F407-4FDC-911C-717D421F510C New RevisionGUID=37806F1D-006B-4942-BF76-93E07AE4A777
Change Managed Component Library Link : Designator=R13 Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID=F7650E84-5758-4290-9977-C0B1333A4AED New ItemGUID=B4BAEA06-9D09-4795-A1A3-E903DA533F9F Old RevisionGUID=4EFDA01A-77CB-44C3-BEDC-F2D0B454A8CE New RevisionGUID=4BA998DB-7754-4175-82E6-8AFEBD314080
Change component parameters: Designator = "C1" ("C1"); Footprint = "FP-C3225-250-0_4-IPC_B"; UniqueID = "\IROAGAYO" ("\IROAGAYO")
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "TE"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = "CRGP2512F1K0"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Octopart"; Value = "https://octopart.com/crgp2512f1k0-te+connectivity-91019040"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package"; Value = "CRGP2512"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Power Rating"; Value = "2W"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Resistance"; Value = "1KO"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "RoHS"; Value = "TRUE"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Series"; Value = "CRGP"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Temperature"; Value = "-55°C to +155°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Temperature Coefficient"; Value = "±100ppm/°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Temperature Range High"; Value = "+155°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Temperature Range Low"; Value = "-55°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance"; Value = "0.01"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "1KO"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage Rating"; Value = "500V"; VariantName = "[No Variations]"
Change Net Name : Old Net Name=NetC11_1 New Net Name=NetC?_1
Change Net Name : Old Net Name=NetC11_2 New Net Name=NetC?_2
Added Member To Class: ClassName=EC25 Member=Component U2 2041119-1
